sa4,Center ,lat,long
Ballarat,Ballarat,-37.5622,143.8503
Bendigo,Bendigo,-36.757,144.2794
Geelong,Geelong,-38.1499,144.3617
Hume,Shepparton,-36.3833,145.4
Latrobe - Gippsland,Bairnsdale,-37.8333,147.6167
Melbourne - Inner,Melbourne,-37.8136,144.9631
Melbourne - Inner East,Melbourne,-37.8136,144.9631
Melbourne - Inner South,Melbourne,-37.8136,144.9631
Melbourne - North East,Melbourne,-37.8136,144.9631
Melbourne - North West,Melbourne,-37.8136,144.9631
Melbourne - Outer East,Melbourne,-37.8136,144.9631
Melbourne - South East,Melbourne,-37.8136,144.9631
Melbourne - West,Melbourne,-37.8136,144.9631
Mornington Peninsula,Melbourne,-37.8136,144.9631
North West,Horsham,-36.7189,142.1962
Shepparton,Shepparton,-36.3833,145.4
South Australia - South East,Mt gambier,-37.8284,140.7804
Warrnambool and South West,warrnambool,-38.3687,142.4982
